No.,Batch Name,トリガーのサービス名,サブサービス,サービス3,サービス4,　リポジトリ,SQL No,SQL,対象レコード数,実行時間 ３回平均(Mysql5.7),実行時間 ３回平均(Mysql8.0),"ステータス
手動実行","ステータス
定期実行",手動実行コマンド,5系終了,8系終了(SQL実行のみ),エラーメモ,ローカル起動メモ,,
13,,,,,,,SQL13,"SELECT
    ws.id AS wall_setting_id,
    a.id AS account_id,
    m.id AS media_id,
    z.id AS zone_id,
    w.id AS wall_id,
    z.is_test AS is_test,
    ws.minimum_user_reward AS minimum_user_reward,
    ws.filter_platform_type AS filter_platform_type,
    ws.ad_course_count_selection AS ad_course_count_selection,
    ws.is_deny_app_ad AS is_deny_app_ad,
    ws.accept_tag_names AS accept_tag_names,
    ws.reject_tag_names AS reject_tag_names,
    z.publish_country AS publish_country
FROM
    smaad_main.account AS a
INNER JOIN
    smaad_main.media AS m ON a.id = m.account_id
INNER JOIN
    smaad_main.zone AS z ON m.id = z.media_id
INNER JOIN
    smaad_main.wall AS w ON z.id = w.zone_id
LEFT JOIN
    offerwall_production.wall_settings AS ws ON ws.wall_id = w.id
WHERE
    z.id = 123332994;",1 row(s),,0.033 sec,,,,,,,,,
14,,,,,,,SQL14,"
SELECT
    a.id AS ad_id,
    (c.`status` 
    AND d.`status` 
    AND a.`status`        
    AND (CASE 
        WHEN (d.multi_course = 1 
        AND COUNT(DISTINCT b.course_id) > 1) 
        OR (d.multi_course = 0 
        AND COUNT(DISTINCT b.course_id) = 1) THEN 1                  
        ELSE 0 
    END)        
    AND MAX((NOW() > dt.start_date 
    AND (dt.end_date IS NULL 
    OR dt.end_date > NOW())))        
    AND d.allow_pointuser = 1        
    AND FIND_IN_SET('3', GROUP_CONCAT(da.zone_type_id))       
    AND (
        SUM(IF(b.limit_count_stop IS NULL, 1, 0)) = COUNT(IF(b.limit_count_stop IS NULL, 1, 0))            
        AND SUM(IF(b.monthly_stop IS NULL OR DATE_FORMAT(b.monthly_stop + INTERVAL 9 HOUR, '%Y%m') 
                   NOT LIKE DATE_FORMAT(NOW() + INTERVAL 9 HOUR, '%Y%m'), 1, 0)) 
            = COUNT(IF(b.monthly_stop IS NULL OR DATE_FORMAT(b.monthly_stop + INTERVAL 9 HOUR, '%Y%m') 
                      NOT LIKE DATE_FORMAT(NOW() + INTERVAL 9 HOUR, '%Y%m'), 1, 0))            
        AND SUM(IF(b.daily_stop IS NULL OR DATE(b.daily_stop + INTERVAL 9 HOUR) != DATE(NOW() + INTERVAL 9 HOUR), 1, 0)) 
            = COUNT(IF(b.daily_stop IS NULL OR DATE(b.daily_stop + INTERVAL 9 HOUR) != DATE(NOW() + INTERVAL 9 HOUR), 1, 0))            
        AND SUM(IF(b.hourly_stop IS NULL OR b.hourly_stop <= NOW(), 1, 0)) 
            = COUNT(IF(b.hourly_stop IS NULL OR b.hourly_stop <= NOW(), 1, 0))            
        AND SUM(IF(b.limit_total_budget_stop IS NULL, 1, 0)) = COUNT(IF(b.limit_total_budget_stop IS NULL, 1, 0))            
        AND SUM(IF(b.limit_monthly_budget_stop IS NULL OR DATE_FORMAT(b.limit_monthly_budget_stop + INTERVAL 9 HOUR, '%Y%m') 
                   NOT LIKE DATE_FORMAT(NOW() + INTERVAL 9 HOUR, '%Y%m'), 1, 0)) 
            = COUNT(IF(b.limit_monthly_budget_stop IS NULL OR DATE_FORMAT(b.limit_monthly_budget_stop + INTERVAL 9 HOUR, '%Y%m') 
                      NOT LIKE DATE_FORMAT(NOW() + INTERVAL 9 HOUR, '%Y%m'), 1, 0))            
        AND SUM(IF(b.limit_daily_budget_stop IS NULL OR DATE(b.limit_daily_budget_stop + INTERVAL 9 HOUR) 
                   != DATE(NOW() + INTERVAL 9 HOUR), 1, 0)) 
            = COUNT(IF(b.limit_daily_budget_stop IS NULL OR DATE(b.limit_daily_budget_stop + INTERVAL 9 HOUR) 
                      != DATE(NOW() + INTERVAL 9 HOUR), 1, 0))        
    )) AS ad_status,
	cre.ad_size_id,
    d.id AS distribution_id,
    d.name AS distribution_name,
    pi.platform AS platform,
    COUNT(DISTINCT b.course_id) AS course_count,
    (CASE WHEN d.multi_course = 0 THEN b.course_name ELSE NULL END) as course_name,
    p.price,
    cre.image_url AS image_url,
    cre.video_name AS video_url,
    d.multi_course AS multi_course,
    GROUP_CONCAT((CASE 
        WHEN mlink.round_type IS NULL THEN IF(STRCMP(pp.course_id, b.course_id) = 0, pp.pay, b.pay)              
        WHEN mlink.round_type = 1 THEN FLOOR((IF(STRCMP(pp.course_id, b.course_id) = 0, pp.pay, b.pay) * (mlink.pay_ratio / 100) * mlink.coin_rate / mlink.yen_rate))              
        WHEN mlink.round_type = 2 THEN CEIL((IF(STRCMP(pp.course_id, b.course_id) = 0, pp.pay, b.pay) * (mlink.pay_ratio / 100) * mlink.coin_rate / mlink.yen_rate))              
        WHEN mlink.round_type = 3 THEN ROUND((IF(STRCMP(pp.course_id, b.course_id) = 0, pp.pay, b.pay) * (mlink.pay_ratio / 100) * mlink.coin_rate / mlink.yen_rate))              
        ELSE FLOOR((IF(STRCMP(pp.course_id, b.course_id) = 0, pp.pay, b.pay) * (mlink.pay_ratio / 100) * mlink.coin_rate / mlink.yen_rate))              
    END) ORDER BY b.course_number ASC SEPARATOR '(,)') AS points,
    SUM(CASE 
        WHEN mlink.round_type IS NULL THEN IF(STRCMP(pp.course_id, b.course_id) = 0, pp.pay, b.pay)              
        WHEN mlink.round_type = 1 THEN FLOOR((IF(STRCMP(pp.course_id, b.course_id) = 0, pp.pay, b.pay) * (mlink.pay_ratio / 100) * mlink.coin_rate / mlink.yen_rate))              
        WHEN mlink.round_type = 2 THEN CEIL((IF(STRCMP(pp.course_id, b.course_id) = 0, pp.pay, b.pay) * (mlink.pay_ratio / 100) * mlink.coin_rate / mlink.yen_rate))              
        WHEN mlink.round_type = 3 THEN ROUND((IF(STRCMP(pp.course_id, b.course_id) = 0, pp.pay, b.pay) * (mlink.pay_ratio / 100) * mlink.coin_rate / mlink.yen_rate))              
        ELSE FLOOR((IF(STRCMP(pp.course_id, b.course_id) = 0, pp.pay, b.pay) * (mlink.pay_ratio / 100) * mlink.coin_rate / mlink.yen_rate))              
    END) AS point,
    a.modified,
    GROUP_CONCAT(b.required_time ORDER BY b.course_number ASC SEPARATOR ',') AS required_time,
    GROUP_CONCAT(b.required_time_unit ORDER BY b.course_number ASC SEPARATOR ',') AS required_time_unit,
    pt.tag_ids AS tag_ids,
    dt.start_date AS dis_term_start
FROM
    smaad_main.account ac        
    INNER JOIN smaad_main.product p ON ac.id = p.account_id AND p.deleted IS NULL
    INNER JOIN smaad_main.currency_rate cr ON ac.currency_id = cr.currency_id 
        AND cr.target_month = (
            SELECT MAX(cr2.target_month) 
            FROM smaad_main.currency_rate cr2
            WHERE cr2.currency_id = ac.currency_id 
            AND cr2.target_month < NOW()
        )        
    INNER JOIN smaad_main.product_info pi ON p.id = pi.product_id
    INNER JOIN smaad_main.campaign c ON p.id = c.product_id AND c.campaign_type = 0 AND c.deleted IS NULL AND c.`status` = 1        
    INNER JOIN smaad_main.distribution d ON c.id = d.campaign_id AND pi.platform = d.platform AND d.deleted IS NULL   
        AND d.allow_pointuser = 1 AND d.`status` = 1        
    INNER JOIN smaad_main.distribution_allow_zone_type da ON d.id = da.distribution_id AND da.zone_type_id = 3        
    INNER JOIN smaad_main.budget b ON d.id = b.distribution_id AND b.deleted IS NULL        
    INNER JOIN (
        SELECT ad.id, ad.distribution_id, ad.creative_id, ad.status, ad.is_own_ad, ad.modified, ad.deleted
        FROM smaad_main.ad
            INNER JOIN smaad_main.creative AS cre ON ad.creative_id = cre.id AND cre.active = 1 AND cre.deleted IS NULL
            INNER JOIN smaad_main.distribution AS d ON d.id = ad.distribution_id AND d.deleted IS NULL
            INNER JOIN smaad_main.campaign AS c ON c.id = d.campaign_id AND c.campaign_type = 0 AND c.deleted IS NULL
            INNER JOIN smaad_main.product AS p ON p.id = c.product_id AND p.deleted IS NULL
        WHERE ad.deleted IS NULL AND ad.creative_id IS NOT NULL
        UNION
        SELECT va.id, va.distribution_id, va.creative_id, va.status, va.is_own_ad, va.modified, va.deleted
        FROM smaad_main.video_ad AS va
            INNER JOIN smaad_main.creative AS cre ON va.creative_id = cre.id AND cre.active = 1 AND cre.deleted IS NULL
            INNER JOIN smaad_main.distribution AS d ON d.id = va.distribution_id AND d.deleted IS NULL
            INNER JOIN smaad_main.campaign AS c ON c.id = d.campaign_id AND c.campaign_type = 0 AND c.deleted IS NULL
            INNER JOIN smaad_main.product AS p ON p.id = c.product_id AND p.deleted IS NULL
        WHERE va.deleted IS NULL AND va.creative_id IS NOT NULL        
    ) a ON d.id = a.distribution_id AND a.`status` = 1        
    INNER JOIN smaad_main.creative cre ON a.creative_id = cre.id AND cre.active = 1 AND cre.deleted IS NULL
    INNER JOIN smaad_main.distribution_term dt ON d.id = dt.distribution_id AND NOW() > dt.start_date 
        AND (dt.end_date IS NULL OR dt.end_date > NOW())
    INNER JOIN (
        SELECT GROUP_CONCAT(ml.id SEPARATOR ',') AS label_ids            
        FROM smaad_main.media_label AS mdl
            INNER JOIN smaad_main.m_label AS ml ON mdl.media_id = 9 AND mdl.label_id = ml.id
    ) AS ml        
    INNER JOIN smaad_main.m_cv_place mcp ON d.cv_place_id = mcp.id
    LEFT JOIN smaad_main.pay_per_media AS pp ON d.id = pp.distribution_id 
        AND b.course_id = pp.course_id AND pp.media_id = 9        
    LEFT JOIN smaad_main.own_ad AS oa ON a.id = oa.ad_id
    LEFT JOIN smaad_main.media_linkage AS mlink ON mlink.zone_id = 9        
    LEFT JOIN (
        SELECT product_id, GROUP_CONCAT(pt.tag_id) as tag_ids            
        FROM smaad_main.product_tag pt
            INNER JOIN smaad_main.tag_master tm ON tm.id = pt.tag_id
        GROUP BY product_id
    ) pt ON pt.product_id = p.id
WHERE
    (c.limit_count_stop IS NULL)
    AND (c.limit_stop IS NULL)
    AND (c.monthly_stop IS NULL 
         OR DATE_FORMAT(c.monthly_stop + INTERVAL 9 HOUR, '%Y%m') <> DATE_FORMAT(NOW() + INTERVAL 9 HOUR, '%Y%m'))
    AND (c.limit_monthly_count_stop IS NULL 
         OR DATE_FORMAT(c.limit_monthly_count_stop + INTERVAL 9 HOUR, '%Y%m') <> DATE_FORMAT(NOW() + INTERVAL 9 HOUR, '%Y%m'))
    AND (c.daily_stop IS NULL 
         OR DATE(c.daily_stop + INTERVAL 9 HOUR) <> DATE(NOW() + INTERVAL 9 HOUR))
    AND (c.limit_daily_count_stop IS NULL 
         OR DATE(c.limit_daily_count_stop + INTERVAL 9 HOUR) <> DATE(NOW() + INTERVAL 9 HOUR))
    AND (d.publish_country = 'JP')
    AND (a.is_own_ad = 0 
         OR (a.is_own_ad = 1 AND oa.account_id = 684039957))
    AND d.test_date IS NOT NULL
    AND NOT EXISTS (
        SELECT * 
        FROM smaad_main.distribution_media_link_black black          
        WHERE smaad_main.black.distribution_id = d.id AND black.media_id = 641991699        
    )
    AND (EXISTS (
            SELECT * 
            FROM smaad_main.distribution_media_link_white AS white            
            WHERE smaad_main.white.distribution_id = d.id AND white.media_id = 641991699          
        )          
        OR (NOT EXISTS (
                SELECT * 
                FROM smaad_main.distribution_media_link_label_black AS l_black              
                WHERE smaad_main.l_black.distribution_id = d.id AND FIND_IN_SET(l_black.label_id, ml.label_ids)            
            ) 
            AND EXISTS (
                SELECT * 
                FROM smaad_main.distribution_media_link_label_white AS l_white              
                WHERE smaad_main.l_white.distribution_id = d.id AND FIND_IN_SET(l_white.label_id, ml.label_ids)            
            )
        )
    )
    AND NOT EXISTS (
        SELECT id 
        FROM smaad_main.deny_ad_zone_rel AS daz          
        WHERE daz.zone_id = 641991699 AND daz.creative_id = cre.id        
    )
    AND NOT EXISTS (
        SELECT id 
        FROM smaad_main.deny_category_zone_rel AS dcz          
        WHERE dcz.zone_id = 641991699 AND dcz.category_id = p.category_id        
    )
    AND ((pi.platform = 'web' 
          AND NOT EXISTS (
            SELECT id 
            FROM smaad_main.deny_url_zone_rel AS duz              
            WHERE duz.zone_id = 641991699 AND pi.uri LIKE CONCAT(duz.url, '%')            
          )
         ) 
         OR ((pi.platform = 'ios' OR pi.platform = 'android') 
             AND NOT EXISTS (
                SELECT id 
                FROM smaad_main.deny_app_zone_rel AS dapz              
                WHERE dapz.zone_id = 641991699 AND dapz.app_id = pi.app_id            
             )
         )
    )  
GROUP BY
    pi.id, a.id, cre.ad_size_id  
HAVING
    ((d.multi_course = 0 AND course_count = 1) OR d.multi_course = 1)      
    AND `point` > 0      
    AND `ad_status` = 1 
    AND `point` >= 1  
ORDER BY
    cv_place_id, a.modified DESC, a.id DESC 
LIMIT 2147483647 OFFSET 0;",0 row(s),,0.501 sec,,,,,,,Error: ER_NO_DB_ERROR: No database selected,,
15,,,,,,,SQL15,"SELECT * 
FROM offerwall_production.banner_settings 
WHERE deleted = 0 
ORDER BY position ASC;",11 row(s),,0.034 sec,,,,,,,,,
16,,,,,,,SQL16,"SELECT 
    wallsettin0_.id, 
    wallsettin0_.created_at, 
    wallsettin0_.created_user, 
    wallsettin0_.updated_at, 
    wallsettin0_.updated_user, 
    wallsettin0_.accept_tag_names, 
    wallsettin0_.ad_course_count_selection, 
    wallsettin0_.addtional_menu_link, 
    wallsettin0_.addtional_menu_title, 
    wallsettin0_.allow_multi_course, 
    wallsettin0_.button_color, 
    wallsettin0_.close_button_setting_type, 
    wallsettin0_.close_button_setting_url, 
    wallsettin0_.contact_mail, 
    wallsettin0_.custom_content, 
    wallsettin0_.daily_bonus_ad_id, 
    wallsettin0_.design_id, 
    wallsettin0_.display_addtional_menu, 
    wallsettin0_.display_download_history, 
    wallsettin0_.display_footer, 
    wallsettin0_.display_header, 
    wallsettin0_.display_menu, 
    wallsettin0_.display_menu_faq, 
    wallsettin0_.display_menu_inquiry, 
    wallsettin0_.display_menu_reward_history, 
    wallsettin0_.display_point_text, 
    wallsettin0_.display_search, 
    wallsettin0_.display_search_platform, 
    wallsettin0_.enable_search_multi_course, 
    wallsettin0_.filter_platform_type, 
    wallsettin0_.flag_color, 
    wallsettin0_.footer_text, 
    wallsettin0_.header_color, 
    wallsettin0_.home_button_enable, 
    wallsettin0_.icon_color, 
    wallsettin0_.is_deny_app_ad, 
    wallsettin0_.label_color, 
    wallsettin0_.line_tab_color, 
    wallsettin0_.main_color, 
    wallsettin0_.main_content1_icon, 
    wallsettin0_.main_content1_id, 
    wallsettin0_.main_content2_icon, 
    wallsettin0_.main_content2_id, 
    wallsettin0_.menu_background_color, 
    wallsettin0_.menu_enable, 
    wallsettin0_.menu_text_color, 
    wallsettin0_.minimum_user_reward, 
    wallsettin0_.point_display_style, 
    wallsettin0_.point_text, 
    wallsettin0_.price_max, 
    wallsettin0_.price_min, 
    wallsettin0_.reject_tag_names, 
    wallsettin0_.search_date, 
    wallsettin0_.search_multi_course, 
    wallsettin0_.search_name, 
    wallsettin0_.search_price, 
    wallsettin0_.selected_popup_id, 
    wallsettin0_.selected_template_id, 
    wallsettin0_.sub_color, 
    wallsettin0_.tag_name_accept_type, 
    wallsettin0_.text_header_icon_color, 
    wallsettin0_.tick_point, 
    wallsettin0_.title_color, 
    wallsettin0_.video_reward_ad_id, 
    wallsettin0_.video_reward_ad_id_android, 
    wallsettin0_.video_reward_ad_id_ios, 
    wallsettin0_.video_reward_id, 
    wallsettin0_.video_reward_id_android, 
    wallsettin0_.video_reward_id_ios, 
    wallsettin0_.wall_id, 
    wallsettin0_.wall_type 
FROM offerwall_production.wall_settings wallsettin0_ 
WHERE wallsettin0_.wall_id = 4;",1 row(s),,0.038 sec,,,,,,,,,
17,,,,,,,SQL17,"SELECT
    madsize0_.id AS id1_9_,
    madsize0_.created AS created2_9_,
    madsize0_.deleted AS deleted3_9_,
    madsize0_.modified AS modified4_9_,
    madsize0_.name AS name5_9_,
    madsize0_.play_time AS play_tim6_9_,
    madsize0_.size_x AS size_x7_9_,
    madsize0_.size_y AS size_y8_9_
FROM
    smaad_main.m_ad_size madsize0_
WHERE
    (madsize0_.play_time IS NOT NULL)
    AND (madsize0_.deleted IS NULL);",2 row(s),,0.038 sec,,,,,,,,,
18,,,,,,,SQL18,"SELECT
    * 
FROM
    offerwall_production.template_contents 
WHERE
    template_id = '50' 
    OR wall_setting_id = '1';",3 row(s),,0.032 sec,,,,,,,,,
19,,,,,,,SQL19,"select
    contentlis0_.id as id1_14_,
    contentlis0_.created_at as created_2_14_,
    contentlis0_.created_user as created_3_14_,
    contentlis0_.updated_at as updated_4_14_,
    contentlis0_.updated_user as updated_5_14_,
    contentlis0_.display_title as display_6_14_,
    contentlis0_.more_button_type as more_but7_14_,
    contentlis0_.number_list_layer as number_l8_14_,
    contentlis0_.subtitle as subtitle9_14_,
    contentlis0_.title as title10_14_ 
from
    offerwall_production.content_lists contentlis0_ 
where
    contentlis0_.id in (26, 27, 59);",5 row(s),,0.027 sec,,,,,,,,,
20,,,,,,,SQL20,"SELECT
    contentlis0_.id as id1_13_,
    contentlis0_.created_at as created_2_13_,
    contentlis0_.created_user as created_3_13_,
    contentlis0_.updated_at as updated_4_13_,
    contentlis0_.updated_user as updated_5_13_,
    contentlis0_.accept_tag_names as accept_t6_13_,
    contentlis0_.ad_course_count_selection as ad_cours7_13_,
    contentlis0_.button_text as button_t8_13_,
    contentlis0_.content_list_id as content_9_13_,
    contentlis0_.description as descrip10_13_,
    contentlis0_.filter_free_ad as filter_11_13_,
    contentlis0_.filter_platform_type as filter_12_13_,
    contentlis0_.linkable_id as linkabl13_13_,
    contentlis0_.linkable_type as linkabl14_13_,
    contentlis0_.sort_type as sort_ty15_13_,
    contentlis0_.status as status16_13_,
    contentlis0_.tag_name_select_type as tag_nam17_13_,
    contentlis0_.title as title18_13_ 
FROM
    offerwall_production.content_list_columns contentlis0_ 
WHERE
    contentlis0_.content_list_id IN (26, 27, 59);",5 row(s),,0.037 sec,,,,,,,,,
21,,,,,,,SQL21,"select
    contentabl0_.id as id1_26_,
    contentabl0_.created_at as created_2_26_,
    contentabl0_.created_user as created_3_26_,
    contentabl0_.updated_at as updated_4_26_,
    contentabl0_.updated_user as updated_5_26_,
    contentabl0_.ad_id as ad_id6_26_,
    contentabl0_.ad_size_id as ad_size_7_26_,
    contentabl0_.contentable_id as contenta8_26_,
    contentabl0_.contentable_type as contenta9_26_,
    contentabl0_.end_at as end_at10_26_,
    contentabl0_.is_recommend as is_reco11_26_,
    contentabl0_.position as positio12_26_,
    contentabl0_.set_countdown_days as set_cou13_26_,
    contentabl0_.set_countdown_hours as set_cou14_26_,
    contentabl0_.set_countdown_minutes as set_cou15_26_,
    contentabl0_.setting_countdown_type as setting16_26_,
    contentabl0_.start_at as start_a17_26_ 
from
    offerwall_production.contentable_content_fixed_ads contentabl0_ 
where
    contentabl0_.contentable_type = 'ContentListColumn' 
    and contentabl0_.contentable_id in (32, 33, 65);",10 row(s),,0.040 sec,,,,,,,,,
22,,,,,,,SQL22,"select
    activestor0_.id as id1_2_,
    activestor0_.byte_size as byte_siz2_2_,
    activestor0_.checksum as checksum3_2_,
    activestor0_.content_type as content_4_2_,
    activestor0_.created_at as created_5_2_,
    activestor0_.filename as filename6_2_,
    activestor0_.`key` as key7_2_,
    activestor0_.metadata as metadata8_2_ 
from
    offerwall_production.active_storage_blobs activestor0_ 
where
    activestor0_.id in (null);",0 row(s),,0.031 sec,,,,,,,,,
